Sampleid,X,Y
0,504,1
1,642,1
2,1016,0
3,458,1
4,507,1
5,778,1
6,450,1
7,695,1
8,45,1
9,285,1
10,682,1
11,580,1
12,227,1
13,21,1
14,288,1
15,612,1
16,700,1
17,893,1
18,364,1
19,253,1
20,902,1
21,872,1
22,874,1
23,890,1
24,581,1
25,489,1
26,947,1
27,759,1
28,351,1
29,918,1
30,495,1
31,121,1
32,117,1
33,522,1
34,1017,0
35,622,1
36,1009,0
37,448,1
38,916,1
39,398,1
40,827,1
41,172,1
42,764,1
43,733,1
44,180,1
45,502,1
46,192,1
47,178,1
48,554,1
49,757,1
50,255,1
51,139,1
52,479,1
53,279,1
54,586,1
55,997,1
56,577,1
57,764,1
58,399,1
59,909,1
60,79,1
61,730,1
62,250,1
63,418,1
64,88,1
65,623,1
66,964,1
67,515,1
68,238,1
69,3,1
70,840,1
71,844,1
72,198,1
73,27,1
74,1009,0
75,535,1
76,494,1
77,656,1
78,397,1
79,1022,0
80,380,1
81,719,1
82,917,1
83,804,1
84,961,1
85,944,1
86,99,1
87,684,1
88,814,1
89,121,1
90,414,1
91,187,1
92,384,1
93,336,1
94,732,1
95,390,1
96,365,1
97,75,1
98,848,1
99,680,1
100,752,1
101,859,1
102,488,1
103,578,1
104,168,1
105,577,1
106,989,1
107,404,1
108,753,1
109,565,1
110,23,1
111,964,1
112,1006,0
113,958,1
114,557,1
115,19,1
116,987,1
117,919,1
118,766,1
119,754,1
120,914,1
121,932,1
122,569,1
123,994,1
124,522,1
125,415,1
126,78,1
127,527,1
128,756,1
129,1006,0
130,193,1
131,336,1
132,72,1
133,586,1
134,147,1
135,409,1
136,291,1
137,874,1
138,736,1
139,477,1
140,558,1
141,953,1
142,911,1
143,660,1
144,720,1
145,791,1
146,56,1
147,491,1
148,136,1
149,187,1
150,19,1
151,894,1
152,345,1
153,499,1
154,630,1
155,92,1
156,551,1
157,70,1
158,240,1
159,540,1
160,238,1
161,633,1
162,208,1
163,741,1
164,359,1
165,543,1
166,589,1
167,192,1
168,766,1
169,670,1
170,237,1
171,76,1
172,325,1
173,1022,0
174,111,1
175,179,1
176,724,1
177,537,1
178,457,1
179,159,1
180,592,1
181,408,1
182,335,1
183,608,1
184,600,1
185,897,1
186,831,1
187,366,1
188,723,1
189,348,1
190,153,1
191,1009,0
192,16,1
193,25,1
194,158,1
195,618,1
196,858,1
197,440,1
198,995,1
199,902,1
200,228,1
201,959,1
202,384,1
203,97,1
204,339,1
205,67,1
206,693,1
207,372,1
208,861,1
209,859,1
210,225,1
211,836,1
212,218,1
213,693,1
214,280,1
215,281,1
216,84,1
217,631,1
218,599,1
219,293,1
220,15,1
221,114,1
222,253,1
223,558,1
224,691,1
225,681,1
226,768,1
227,194,1
228,636,1
229,893,1
230,608,1
231,269,1
232,140,1
233,755,1
234,114,1
235,25,1
236,504,1
237,72,1
238,732,1
239,737,1
240,70,1
241,115,1
242,865,1
243,606,1
244,2,1
245,407,1
246,391,1
247,480,1
248,175,1
249,472,1
250,847,1
251,745,1
252,260,1
253,519,1
254,819,1
255,112,1
256,975,1
257,899,1
258,722,1
259,152,1
260,164,1
261,156,1
262,463,1
263,578,1
264,277,1
265,443,1
266,861,1
267,331,1
268,221,1
269,1006,0
270,923,1
271,844,1
272,690,1
273,352,1
274,104,1
275,251,1
276,233,1
277,852,1
278,123,1
279,1005,0
280,602,1
281,988,1
282,41,1
283,220,1
284,23,1
285,745,1
286,978,1
287,709,1
288,750,1
289,983,1
290,137,1
291,356,1
292,565,1
293,770,1
294,164,1
295,998,1
296,431,1
297,457,1
298,766,1
299,797,1
300,930,1
301,77,1
302,1010,0
303,11,1
304,749,1
305,120,1
306,710,1
307,803,1
308,880,1
309,420,1
310,344,1
311,1008,0
312,596,1
313,69,1
314,882,1
315,326,1
316,650,1
317,116,1
318,677,1
319,1003,0
320,816,1
321,740,1
322,584,1
323,980,1
324,343,1
325,170,1
326,687,1
327,977,1
328,928,1
329,226,1
330,134,1
331,48,1
332,880,1
333,311,1
334,706,1
335,939,1
336,377,1
337,761,1
338,489,1
339,658,1
340,1016,0
341,348,1
342,85,1
343,254,1
344,23,1
345,983,1
346,216,1
347,472,1
348,686,1
349,177,1
350,277,1
351,586,1
352,156,1
353,121,1
354,764,1
355,494,1
356,478,1
357,989,1
358,562,1
359,570,1
360,52,1
361,980,1
362,326,1
363,417,1
364,912,1
365,683,1
366,815,1
367,109,1
368,553,1
369,218,1
370,707,1
371,324,1
372,797,1
373,947,1
374,80,1
375,416,1
376,159,1
377,635,1
378,105,1
379,185,1
380,72,1
381,655,1
382,350,1
383,771,1
384,229,1
385,354,1
386,309,1
387,472,1
388,657,1
389,922,1
390,656,1
391,511,1
392,181,1
393,403,1
394,770,1
395,111,1
396,553,1
397,296,1
398,501,1
399,768,1
400,526,1
401,330,1
402,756,1
403,615,1
404,969,1
405,476,1
406,959,1
407,297,1
